model,param,bestParam,trainScore,testScore,accuracy,mse,r2,visualizerTrainScore,visualizerTestScore
LinearRegression(),,{},-0.6155239543941924,-0.6155239543941924,0.071,0.01,-0.616,0.6662512915618455,-0.6155239543941924
Lasso(),alpha,{'alpha': 0.01},-0.034096289250904466,-0.034096289250904466,0.143,0.006,-0.034,0.0,-0.034096289250904466
