Project Ref;Calculation Design Stage;UK District;GIFA (m2);Project Value (œm);Value Type;Project Sector;Construction Type;Storeys (#);Passivhaus;Basement Type;Foundation Type;Ground Floor Type;Superstructure Type;Cladding Type;Carbon A1-A3 (kgCO2e);Carbon A1-A5 (kgCO2e);Carbon A1-C4 (kgCO2e);Carbon A1-D (kgCO2e);A1-A3 Rate (kgCO2e/m2);A1-A5 Rate (kgCO2e/m2);A1-C4 Rate (kgCO2e/m2);A1-D Rate (kgCO2e/m2);Construction Carbon (A1-A5) (kgCO2e);Construction % Carbon (A1-A5);Concrete Total Mass (kg);Concrete Total Carbon (A1-A5) (kgCO2e);Concrete % Carbon (A1-A5);Masonry & Blockwork Total Area (m2);Masonry & Blockwork Total Carbon (A1-A5) (kgCO2e);Masonry % Blockwork % Carbon (A1-A5);Reinforcement Total Mass (kg);Reinforcement Total Carbon (A1-A5) (kgCO2e);Reinforcement % Carbon (A1-A5);Steel (Other) Total Mass (kg);Steel (Other) Total Carbon (A1-A5) (kgCO2e);Steel (Other) % Carbon (A1-A5);Steel (Sections) Total Mass (kg);Steel (Sections) Total Carbon (A1-A5) (kgCO2e);Steel (Sections) % Carbon (A1-A5);Timber (Plain) Total Mass (kg);Timber (Plain) Total Carbon (A1-A5) (kgCO2e);Timber (Plain) % Carbon (A1-A5);Timber (Products) Total Mass (kg);Timber (Products) Total Carbon (A1-A5) (kgCO2e);Timber (Products) % Carbon (A1-A5)
144;Stage 5;CT2;2769;10,8;Whole Building;Educational;New Build (Brownfield);3;No;None;Mass Pads/Strips;Suspended RC;Timber Frame (Glulam/CLT);Other;611076;786529;834861;722648;220,7;284;301,5;261;75600;9,60%;3221447;398943;50,70%;0;0;0,00%;54426;115891;14,70%;0;0;0,00%;2669;4265;0,50%;0;0;0,00%;317715;191829;24,40%
145;Stage 2;RM13;17710;30;Whole Building;Residential (Multi);New Build (Brownfield);8;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/Stone;6586432;7385594;7757139;6630358;371,9;417;438;374,4;210000;2,80%;30903175;4138517;56,00%;0;0;0,00%;1426304;3037077;41,10%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
146;As-Built;E16;3600;9,5;Whole Building;Educational;New Build (Brownfield);3;No;None;Raft;Raft;Concrete (In-Situ);Masonry/SFS;908467;1062347;1139600;943200;252,4;295,1;316,6;262;66500;6,30%;4469110;475149;44,70%;0;0;0,00%;216677;461377;43,40%;19110;59321;5,60%;0;0;0,00%;0;0;0,00%;0;0;0,00%
147;As-Built;OX1;763;4,7;Whole Building;Educational;New Build (Greenfield);3;No;Other;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Glazed/Curtain Wall;301751;359752;373474;302593;395,5;471,5;489,5;396,6;32900;9,10%;1008225;133092;37,00%;0;0;0,00%;88012;187407;52,10%;0;0;0,00%;3975;6353;1,80%;0;0;0,00%;0;0;0,00%
148;Stage 4;NW8;810;4,5;Whole Building;Residential (Single);Mixed New Build/Refurb;4;No;Full Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;263883;318914;334776;286665;325,8;393,7;413,3;353,9;31500;9,90%;1202784;153834;48,20%;0;0;0,00%;58000;123501;38,70%;0;0;0,00%;5888;9410;3,00%;1345;669;0,20%;0;0;0,00%
149;As-Built;SL6;500;1,5;Whole Building;Healthcare;New Build (Greenfield);2;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Glazed/Curtain Wall;296935;331304;343162;270307;593,9;662,6;686,3;540,6;10500;3,20%;883927;115780;34,90%;0;0;0,00%;84382;179677;54,20%;1215;3772;1,10%;13500;21575;6,50%;0;0;0,00%;0;0;0,00%
150;As-Built;OX3;1900;11;Whole Building;Healthcare;New Build (Brownfield);3;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Steel Frame/Precast;Glazed/Curtain Wall;590475;716628;769308;686536;310,8;377,2;404,9;361,3;77000;10,70%;3172800;337327;47,10%;0;0;0,00%;54774;116632;16,30%;0;0;0,00%;116180;185669;25,90%;0;0;0,00%;0;0;0,00%
151;As-Built;IG11;3023;7;Whole Building;Residential (Multi);New Build (Brownfield);3;No;None;Mass Pads/Strips;Suspended RC;Concrete (In-Situ);Masonry Only;667701;783432;854426;751709;220,9;259,2;282,6;248,7;49000;6,30%;4294296;456563;58,30%;0;0;0,00%;129384;275501;35,20%;0;0;0,00%;1482;2368;0,30%;0;0;0,00%;0;0;0,00%
152;As-Built;NW10;21500;40;Whole Building;Residential (Multi);New Build (Brownfield);6;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;5855889;6649953;6980771;5865463;272,4;309,3;324,7;272,8;280000;4,20%;25120341;3363799;50,60%;0;0;0,00%;1411782;3006154;45,20%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
153;As-Built;CR8;3268;8;Whole Building;Residential (Multi);New Build (Brownfield);3;No;Partial Footprint;Raft;Raft;Timber Frame (Glulam/CLT);Masonry Only;353884;501809;537429;-194835;108,3;153,6;164,5;-59,6;56000;11,20%;1582208;192962;38,50%;0;0;0,00%;52300;111364;22,20%;0;0;0,00%;19419;31034;6,20%;0;0;0,00%;395118;110450;22,00%
154;As-Built;HA9;42487;135;Whole Building;Residential (Multi);New Build (Brownfield);21;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;8673295;10428961;11204037;9653409;204,1;245,5;263,7;227,2;945000;9,10%;45445475;5304463;50,90%;0;0;0,00%;1962820;4179497;40,10%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
155;Stage 4;OX11;1760;5,1;Whole Building;Science/Lab;New Build (Brownfield);2;No;None;Mass Pads/Strips;Suspended RC;Steel Frame/Composite;Other;371880;439257;467118;405159;211,3;249,6;265,4;230,2;35700;8,10%;1806651;197122;44,90%;0;0;0,00%;39468;84039;19,10%;7187;22309;5,10%;62628;100086;22,80%;0;0;0,00%;0;0;0,00%
156;As-Built;OX11;12665;100;Whole Building;Science/Lab;New Build (Greenfield);5;No;Partial Footprint;Reinforced Pads/Strips;Ground Bearing RC;Steel Frame/Timber;Lightweight/SFS;3088151;4138261;4362707;2565013;243,8;326,7;344,5;202,5;700000;16,90%;12312800;1670395;40,40%;0;0;0,00%;190877;406441;9,80%;0;0;0,00%;709951;1134583;27,40%;0;0;0,00%;811500;226843;5,50%
157;Stage 2;OX11;8500;80;Whole Building;Science/Lab;New Build (Brownfield);3;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Lightweight/SFS;2416435;3188096;3330605;2920111;284,3;375,1;391,8;343,5;560000;17,60%;10803300;1449831;45,50%;0;0;0,00%;471000;1002916;31,50%;0;0;0,00%;102140;163231;5,10%;9600;4772;0,10%;7500;7346;0,20%
158;As-Built;E17;12577;30;Whole Building;Residential (Multi);New Build (Brownfield);16;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/Stone;3962312;4539020;4765948;4093213;315;360,9;378,9;325,5;210000;4,60%;18436642;2515761;55,40%;0;0;0,00%;851562;1813260;39,90%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
159;As-Built;SO24;312;2;Whole Building;Residential (Single);New Build (Brownfield);1;No;None;Mass Pads/Strips;Suspended RC;Steel Frame/Timber;Timber Only;75364;100434;112170;98186;241,6;321,9;359,5;314,7;14000;13,90%;419290;39832;39,70%;0;0;0,00%;6156;13108;13,10%;0;0;0,00%;13698;21891;21,80%;18107;9001;9,00%;2656;2602;2,60%
160;As-Built;SO24;109;0,7;Whole Building;Residential (Single);Full Refurb;1;No;None;Mass Pads/Strips;Suspended RC;Timber Frame (Softwood);Timber Only;22380;30277;33695;29706;205,3;277,8;309,1;272,5;4900;16,20%;158969;14772;48,80%;0;0;0,00%;3801;8094;26,70%;0;0;0,00%;467;746;2,50%;3849;1765;5,80%;0;0;0,00%
161;As-Built;CB6;3657;6,5;Whole Building;Science/Lab;New Build (Greenfield);2;No;None;Reinforced Pads/Strips;Ground Bearing RC;Steel Frame/Composite;Lightweight/SFS;635848;738894;799584;706009;173,9;202;218,6;193,1;45500;6,20%;3746400;357089;48,30%;0;0;0,00%;26423;56263;7,60%;19894;61755;8,40%;136590;218286;29,50%;0;0;0,00%;0;0;0,00%
162;Stage 5;GU8;1830;45;Whole Building;Residential (Single);Mixed New Build/Refurb;3;No;Full Footprint;Piled Ground Beams;Suspended RC;Concrete (In-Situ);Masonry/Stone;1414706;1857174;1952620;1612875;773,1;1014,8;1067;881,4;315000;17,00%;5847540;619757;33,40%;0;0;0,00%;423286;901317;48,50%;0;0;0,00%;10755;17188;0,90%;7871;3913;0,20%;0;0;0,00%
163;Stage 4;SE6;6941;3,4;Whole Building;Educational;New Build (Greenfield);3;No;None;Piles (Pile Caps);Ground Bearing RC;Concrete (In-Situ);Masonry Only;2352532;2574462;2693068;2213874;338,9;370,9;388;319;23800;0,90%;9041813;1214219;47,20%;0;0;0,00%;578262;1231312;47,80%;0;0;0,00%;65784;105130;4,10%;0;0;0,00%;0;0;0,00%
164;As-Built;OX2;2404;6,2;Whole Building;Educational;New Build (Greenfield);3;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/Stone;761128;870713;921799;725525;316,6;362,2;383,4;301,8;43400;5,00%;2472450;264329;30,40%;0;0;0,00%;220202;468883;53,90%;0;0;0,00%;52350;83661;9,60%;21000;10439;1,20%;0;0;0,00%
165;As-Built;GU7;1930;12;Whole Building;Educational;New Build (Greenfield);3;No;None;Mass Pads/Strips;Ground Bearing RC;Concrete (In-Situ);Masonry Only;477643;603575;641244;531994;247,5;312,7;332,3;275,6;84000;13,90%;2019396;202720;33,60%;0;0;0,00%;122902;261699;43,40%;0;0;0,00%;33306;53227;8,80%;3879;1928;0,30%;0;0;0,00%
166;As-Built;WV10;2575;6,5;Whole Building;Healthcare;New Build (Brownfield);4;No;Full Footprint;Mass Pads/Strips;Suspended RC;Steel Frame/Precast;Lightweight/SFS;446616;528973;571580;517274;173,4;205,4;222;200,9;45500;8,60%;2639755;255717;48,30%;0;0;0,00%;17363;36972;7,00%;0;0;0,00%;119380;190783;36,10%;0;0;0,00%;0;0;0,00%
167;As-Built;NW6;4787;12;Whole Building;Residential (Multi);New Build (Brownfield);6;No;None;Piled Ground Beams;Suspended RC;Concrete (In-Situ);Masonry/SFS;1174584;1364531;1438052;1247292;245,4;285;300,4;260,6;84000;6,20%;5723082;766363;56,20%;0;0;0,00%;241469;514168;37,70%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
168;Stage 3;NW6;8897;17;Whole Building;Mixed Use;New Build (Brownfield);8;No;None;Piles (Pile Caps);Suspended RC;Masonry/Concrete;Masonry Only;1900958;2182924;2285428;1932175;213,7;245,4;256,9;217,2;119000;5,50%;7631705;1111313;50,90%;0;0;0,00%;446861;951516;43,60%;0;0;0,00%;685;1095;0,10%;0;0;0,00%;0;0;0,00%
169;As-Built;SP4;3851;8;Whole Building;Industrial;New Build (Greenfield);1;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Composite;Lightweight/SFS;724739;840227;904390;784279;188,2;218,2;234,8;203,7;56000;6,70%;3447160;343301;40,90%;0;0;0,00%;32456;69110;8,20%;23297;72319;8,60%;187407;299498;35,60%;0;0;0,00%;0;0;0,00%
170;As-Built;YO26;307;1,5;Whole Building;Commercial;New Build (Greenfield);2;No;None;Mass Pads/Strips;Ground Bearing RC;Timber Frame (Softwood);Timber Only;42748;64923;77834;67780;139,2;211,5;253,5;220,8;10500;16,20%;321708;29730;45,80%;0;0;0,00%;3540;7538;11,60%;0;0;0,00%;462;738;1,10%;33026;16417;25,30%;0;0;0,00%
171;As-Built;CB5;1137;11;Whole Building;Educational;Mixed New Build/Refurb;4;No;Partial Footprint;Piles (Pile Caps);Ground Bearing RC;Steel Frame/Other;Masonry/Stone;721895;866222;914460;814055;634,9;761,8;804,3;716;77000;8,90%;4122950;501935;57,90%;0;0;0,00%;112985;240583;27,80%;1691;5249;0,60%;25788;41212;4,80%;686;243;0,00%;0;0;0,00%
172;Stage 3;OX2;446;2;Whole Building;Educational;New Build (Greenfield);3;No;None;Mass Pads/Strips;Timber;Timber Frame (Glulam/CLT);Masonry Only;57553;86789;93982;77677;129;194,6;210,7;174,2;14000;16,10%;326619;26435;30,50%;0;0;0,00%;972;2070;2,40%;0;0;0,00%;1087;1737;2,00%;273;97;0,10%;70274;42451;48,90%
173;As-Built;TN30;587;3;Whole Building;Residential (Single);New Build (Greenfield);1;No;None;Mass Pads/Strips;Ground Bearing RC;Concrete (In-Situ);Other;223697;265287;279759;245091;381,1;451,9;476,6;417,5;21000;7,90%;1196719;151167;57,00%;0;0;0,00%;41899;89217;33,60%;825;3903;1,50%;0;0;0,00%;0;0;0,00%;0;0;0,00%
174;As-Built;SW19;6975;22,4;Whole Building;Residential (Multi);New Build (Brownfield);9;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;2007013;2351985;2523708;2111398;287,7;337,2;361,8;302,7;156800;6,70%;10194475;1083860;46,10%;0;0;0,00%;521912;1111324;47,30%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
175;As-Built;SW19;2475;8,2;Whole Building;Residential (Multi);New Build (Brownfield);7;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;746772;872386;930977;763036;301,7;352,5;376,2;308,3;57400;6,60%;3407914;362324;41,50%;0;0;0,00%;212584;452662;51,90%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
176;As-Built;E3;4950;12;Whole Building;Residential (Multi);New Build (Brownfield);4;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;1261930;1458824;1535318;1319747;254,9;294,7;310,2;266,6;84000;5,80%;5925327;793784;54,40%;0;0;0,00%;272874;581040;39,80%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
177;Stage 5;SW7;23;0,2;Whole Building;Cultural/Public;New Build (Greenfield);1;No;None;Other;Other;Steel Frame/Other;Glazed/Curtain Wall;4867;6418;6554;5486;211,6;279;284,9;238,5;1400;21,80%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;3140;5018;78,20%;0;0;0,00%;0;0;0,00%
178;Stage 2;OX4;5850;27,4;Whole Building;Residential (Multi);New Build (Brownfield);15;No;None;Piles (Pile Caps);Ground Bearing RC;Concrete (In-Situ);Other;1977547;2333626;2425316;1954199;338;398,9;414,6;334,1;191800;8,20%;6487200;857762;36,80%;0;0;0,00%;587362;1250689;53,60%;0;0;0,00%;20884;33375;1,40%;0;0;0,00%;0;0;0,00%
179;Stage 2;OX4;7120;33,3;Whole Building;Residential (Multi);New Build (Brownfield);8;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;1436501;1793633;1877005;1579334;201,8;251,9;263,6;221,8;233100;13,00%;5662160;758205;42,30%;0;0;0,00%;376798;802328;44,70%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
180;Stage 2;OX4;2755;12,9;Whole Building;Residential (Multi);New Build (Brownfield);4;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;998812;1172652;1218099;976452;362,5;425,6;442,1;354,4;90300;7,70%;3259641;431028;36,80%;0;0;0,00%;305882;651324;55,50%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
181;Stage 2;OX4;5676;26,5;Whole Building;Residential (Multi);New Build (Brownfield);10;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;1665070;1992422;2081330;1647095;293,4;351;366,7;290,2;185500;9,30%;5586866;636503;31,90%;0;0;0,00%;549665;1170420;58,70%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
182;Stage 2;UB2;56828;120;Whole Building;Residential (Multi);New Build (Brownfield);18;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;17775237;20222387;21289426;18447174;312,8;355,9;374,6;324,6;840000;4,20%;87534385;11721501;58,00%;0;0;0,00%;3597787;7660886;37,90%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
183;Stage 3;SE15;19730;49;Whole Building;Residential (Multi);New Build (Brownfield);14;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;6379500;7279157;7620395;6366158;323,3;368,9;386,2;322,7;343000;4,70%;26552225;3555539;48,80%;0;0;0,00%;1587642;3380618;46,40%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
184;Stage 3;OX11;1005;2,5;Whole Building;Science/Lab;New Build (Greenfield);2;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Timber;Lightweight/SFS;252633;301443;318183;263050;251,4;299,9;316,6;261,7;17500;5,80%;863800;90780;30,10%;0;0;0,00%;16475;35081;11,60%;0;0;0,00%;62000;99083;32,90%;1150;407;0,10%;96700;58592;19,40%
185;Stage 4;B29;10779;26,1;Whole Building;Residential (Multi);New Build (Brownfield);9;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;3431795;3916689;4105831;3468143;318,4;363,4;380,9;321,7;182700;4,70%;14985600;2015192;51,50%;0;0;0,00%;807200;1718798;43,90%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
186;Stage 4;B29;9083;22;Whole Building;Residential (Multi);New Build (Brownfield);9;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;3213792;3651531;3826649;3238415;353,8;402;421,3;356,5;154000;4,20%;14215200;1912030;52,40%;0;0;0,00%;744600;1585501;43,40%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
187;Stage 4;B29;8137;19,7;Whole Building;Residential (Multi);New Build (Brownfield);9;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;2206934;2539044;2664516;2253119;271,2;312;327,5;276,9;137900;5,40%;9607680;1292281;50,90%;0;0;0,00%;520756;1108863;43,70%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
188;Stage 4;B29;7130;17,3;Whole Building;Residential (Multi);New Build (Brownfield);12;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;1848024;2132278;2239429;1901447;259,2;299,1;314,1;266,7;121100;5,70%;8175600;1100196;51,60%;0;0;0,00%;427825;910982;42,70%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
189;As-Built;TA13;83;0,224;Whole Building;Residential (Single);New Build (Greenfield);2;No;None;Mass Pads/Strips;Timber;Timber Frame (Softwood);Timber Only;4611;7980;10435;8643;55,6;96,1;125,7;104,1;1568;19,60%;16080;829;10,40%;0;0;0,00%;0;0;0,00%;0;0;0,00%;1286;2055;25,80%;6043;2958;37,10%;258;253;3,20%
190;As-Built;SL7;707;3,8;Whole Building;Residential (Single);New Build (Brownfield);2;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);SFS/Stone;258876;310327;332940;282224;366,2;438,9;470,9;399,2;26600;8,60%;1422271;147029;47,40%;0;0;0,00%;64198;136699;44,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
191;As-Built;SL7;707;3,8;Whole Building;Residential (Single);New Build (Brownfield);2;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);SFS/Stone;258876;310327;332940;282224;366,2;438,9;470,9;399,2;26600;8,60%;1422271;147029;47,40%;0;0;0,00%;64198;136699;44,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
192;As-Built;NW3;684;2,4;Whole Building;Residential (Single);Mixed New Build/Refurb;5;No;Partial Footprint;Piled Ground Beams;Ground Bearing RC;Steel Frame/Timber;Masonry Only;134514;162207;171112;148743;196,7;237,1;250,2;217,5;16800;10,40%;539729;69276;42,70%;0;0;0,00%;16896;35977;22,20%;286;888;0,50%;23743;37944;23,40%;2660;1322;0,80%;0;0;0,00%
193;As-Built;W7;3734;10;Whole Building;Residential (Multi);New Build (Brownfield);6;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;661194;790995;846520;690585;177,1;211,8;226,7;184,9;70000;8,80%;2871334;300695;38,00%;0;0;0,00%;197386;420301;53,10%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
194;As-Built;W7;4200;10;Whole Building;Residential (Multi);New Build (Brownfield);7;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry Only;872443;1021551;1092870;890479;207,7;243,2;260,2;212;70000;6,90%;3844809;406035;39,70%;0;0;0,00%;256191;545516;53,40%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
195;As-Built;W7;5600;9;Whole Building;Residential (Multi);New Build (Brownfield);8;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;1180262;1349874;1426774;1236355;210,8;241;254,8;220,8;63000;4,70%;5783760;773628;57,30%;0;0;0,00%;241036;513246;38,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
196;Stage 2;NW3;614;7;Whole Building;Residential (Single);New Build (Brownfield);3;No;Full Footprint;Raft;Suspended RC;Timber Frame (Glulam/CLT);Masonry Only;121821;190709;199278;168357;198,4;310,6;324,6;274,2;49000;25,70%;473981;56715;29,70%;0;0;0,00%;20623;43914;23,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%;68039;41080;21,50%
197;As-Built;IP7;33;0,2;Whole Building;Commercial;New Build (Brownfield);1;No;None;Mass Pads/Strips;Suspended RC;Steel Frame/Timber;Glazed/Curtain Wall;9438;11774;12550;11127;286;356,8;380,3;337,2;1400;11,90%;48960;4645;39,50%;0;0;0,00%;907;1931;16,40%;0;0;0,00%;2078;3321;28,20%;0;0;0,00%;1105;477;4,10%
198;Stage 4;OX1;560;5,7;Whole Building;Educational;New Build (Brownfield);2;Yes;None;Piles (Pile Caps);Suspended RC;Steel Frame/Timber;Glazed/Curtain Wall;126660;183134;190202;163977;226,2;327;339,6;292,8;39900;21,80%;226800;27550;15,00%;0;0;0,00%;12120;25808;14,10%;0;0;0,00%;23360;37332;20,40%;1600;795;0,40%;38900;24436;13,30%
199;As-Built;PE21;821;1,6;Whole Building;Educational;New Build (Brownfield);2;No;None;Piles (Pile Caps);Suspended RC;Steel Frame/Other;Masonry/SFS;182862;209873;219355;193992;222,7;255,6;267,2;236,3;11200;5,30%;532053;108957;51,90%;0;0;0,00%;14244;30330;14,50%;0;0;0,00%;37160;59386;28,30%;0;0;0,00%;0;0;0,00%
200;Stage 5;LN6;753;2,5;Whole Building;Educational;New Build (Brownfield);3;No;None;Mass Pads/Strips;Suspended RC;Steel Frame/Composite;Lightweight/SFS;130534;165070;181764;163159;173,4;219,2;241,4;216,7;17500;10,60%;356860;59314;35,90%;0;0;0,00%;5199;11070;6,70%;8250;25610;15,50%;6540;10452;6,30%;0;0;0,00%;0;0;0,00%
201;Stage 4;OX33;365;1;Whole Building;Educational;New Build (Brownfield);2;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Timber;Masonry Only;67439;81843;88535;75525;184,8;224,2;242,6;206,9;7000;8,60%;252500;27736;33,90%;0;0;0,00%;6800;14479;17,70%;0;0;0,00%;15700;25090;30,70%;6100;3032;3,70%;4600;4506;5,50%
202;Stage 3;W1;1900;3;Structure Only;Commercial;Mixed New Build/Refurb;6;No;Full Footprint;Piles (Pile Caps);Suspended RC;Steel Frame/Composite;Masonry Only;409999;479136;497645;402768;215,8;252,2;261,9;212;42000;8,80%;859745;114750;23,90%;0;0;0,00%;76816;163568;34,10%;0;0;0,00%;98230;156984;32,80%;3691;1835;0,40%;0;0;0,00%
203;Stage 5;W8;854;3,5;Whole Building;Commercial;New Build (Brownfield);6;No;Full Footprint;Raft;Suspended RC;Concrete (In-Situ);Masonry/SFS;228613;273639;291038;236555;267,7;320,4;340,8;277;24500;9,00%;954819;100713;36,80%;0;0;0,00%;67691;144136;52,70%;0;0;0,00%;2414;3858;1,40%;867;431;0,20%;0;0;0,00%
204;Stage 3;W3;18228;40;Whole Building;Mixed Use;New Build (Brownfield);13;No;Partial Footprint;Raft;Suspended RC;Concrete (In-Situ);Masonry Only;6141622;6966831;7310109;6289126;336,9;382,2;401;345;280000;4,00%;28584753;3918128;56,20%;0;0;0,00%;1281787;2729351;39,20%;0;0;0,00%;24624;39352;0,60%;0;0;0,00%;0;0;0,00%
205;Stage 4;W3;631;1,2;Whole Building;Educational;New Build (Brownfield);1;No;None;Piles (Pile Caps);Suspended RC;Steel Frame/Composite;Masonry Only;181688;203413;213319;189465;287,9;322,4;338,1;300,3;8400;4,10%;728600;97565;48,00%;0;0;0,00%;0;0;0,00%;4733;14691;7,20%;51785;82758;40,70%;0;0;0,00%;0;0;0,00%
206;Stage 3;N15;3760;10;Whole Building;Residential (Multi);New Build (Greenfield);9;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;1217469;1392962;1457609;1195774;323,8;370,5;387,7;318;70000;5,00%;4782155;617222;44,30%;0;0;0,00%;331437;705740;50,70%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
207;Stage 4;WD19;313;0,8;Whole Building;Residential (Single);New Build (Brownfield);3;No;Partial Footprint;Raft;Other;Steel Frame/Other;Masonry/SFS;67272;77872;82269;68856;214,9;248,8;262,8;220;5600;7,20%;177852;22759;29,20%;0;0;0,00%;5745;12233;15,70%;666;2067;2,70%;20273;32398;41,60%;3533;1251;1,60%;1596;1563;2,00%
208;Stage 2;SN3;702;4;Whole Building;Industrial;New Build (Brownfield);1;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Other;Precast/GRC;154200;223070;262536;220784;219,7;317,8;374;314,5;28000;12,60%;564000;75583;33,90%;0;0;0,00%;7856;16728;7,50%;0;0;0,00%;20275;32402;14,50%;126611;62938;28,20%;6653;6516;2,90%
209;Stage 2;SN3;6725;21;Whole Building;Industrial;New Build (Brownfield);1;Yes;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Other;Precast/GRC;1891735;2329869;2580854;2208864;281,3;346,4;383,8;328,5;147000;6,30%;7653600;1026049;44,00%;0;0;0,00%;66646;141912;6,10%;58661;182096;7,80%;311515;497837;21,40%;612521;304484;13,10%;20000;19590;0,80%
210;Stage 3;UB3;1456;5,2;Whole Building;Cultural/Public;New Build (Brownfield);3;No;None;Mass Pads/Strips;Ground Bearing RC;Steel Frame/Precast;Precast/GRC;360655;433668;453071;401690;247,7;297,8;311,2;275,9;36400;8,40%;919740;206116;47,50%;0;0;0,00%;20529;43712;10,10%;0;0;0,00%;92259;147440;34,00%;0;0;0,00%;0;0;0,00%
211;Stage 2;SS12;35921;68,1;Whole Building;Mixed Use;New Build (Brownfield);16;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;11161692;12534356;13029375;11087837;310,7;348,9;362,7;308,7;476700;3,80%;41273403;6367840;50,80%;0;0;0,00%;2169322;4619209;36,90%;0;0;0,00%;669919;1070607;8,50%;0;0;0,00%;0;0;0,00%
212;Stage 2;SS12;19310;44,5;Whole Building;Residential (Multi);New Build (Brownfield);12;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;7110722;8057883;8464197;7168575;368,2;417,3;438,3;371,2;311500;3,90%;32695063;4254218;52,80%;0;0;0,00%;1640028;3492165;43,30%;0;0;0,00%;0;0;0,00%;0;0;0,00%;0;0;0,00%
