Project Ref;Calculation Design Stage;UK District;GIFA (m2);Project Value (œm);Value Type;Project Sector;Construction Type;Storeys (#);Passivhaus;Basement Type;Foundation Type;Ground Floor Type;Superstructure Type;Cladding Type;Carbon A1-A3 (kgCO2e);Carbon A1-A5 (kgCO2e);Carbon A1-C4 (kgCO2e);Carbon A1-D (kgCO2e);A1-A3 Rate (kgCO2e/m2);A1-A5 Rate (kgCO2e/m2);A1-C4 Rate (kgCO2e/m2);A1-D Rate (kgCO2e/m2);Construction Carbon (A1-A5) (kgCO2e);Construction % Carbon (A1-A5);Concrete Total Mass (kg);Concrete Total Carbon (A1-A5) (kgCO2e);Concrete % Carbon (A1-A5);Masonry & Blockwork Total Area (m2);Masonry & Blockwork Total Carbon (A1-A5) (kgCO2e);Masonry % Blockwork % Carbon (A1-A5);Reinforcement Total Mass (kg);Reinforcement Total Carbon (A1-A5) (kgCO2e);Reinforcement % Carbon (A1-A5);Steel (Other) Total Mass (kg);Steel (Other) Total Carbon (A1-A5) (kgCO2e);Steel (Other) % Carbon (A1-A5);Steel (Sections) Total Mass (kg);Steel (Sections) Total Carbon (A1-A5) (kgCO2e);Steel (Sections) % Carbon (A1-A5);Timber (Plain) Total Mass (kg);Timber (Plain) Total Carbon (A1-A5) (kgCO2e);Timber (Plain) % Carbon (A1-A5);Timber (Products) Total Mass (kg);Timber (Products) Total Carbon (A1-A5) (kgCO2e);Timber (Products) % Carbon (A1-A5)
103;As-Built;OX1;4180;18;Whole Building;Educational;New Build (Greenfield);5;No;Partial Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);SFS/Stone;1364617;1627204;1760425;1504019;326,5;389,3;421,2;359,8;126000;7,70%;7892945;806507;49,60%;0;0;0,00%;316313;673536;41,40%;0;0;0,00%;7500;11986;0,70%;18459;9176;0,60%;0;0;0,00%
104;Stage 4;SE10;15145;15;Whole Building;Residential (Multi);New Build (Brownfield);10;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;4276182;4770052;5033232;4327606;282,3;315;332,3;285,7;105000;2,20%;20927840;2769609;58,10%;0;0;0,00%;869362;1851162;38,80%;14265;44281;0,90%;0;0;0,00%;0;0;0,00%;0;0;0,00%
105;As-Built;UB2;4500;8;Whole Building;Residential (Multi);New Build (Brownfield);6;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;925507;1065123;1126038;974381;205,7;236,7;250,2;216,5;56000;5,30%;4521046;600246;56,40%;0;0;0,00%;191903;408625;38,40%;0;0;0,00%;158;253;0,00%;0;0;0,00%;0;0;0,00%
106;As-Built;UB2;3900;8;Whole Building;Residential (Multi);New Build (Brownfield);6;No;None;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;1046054;1197449;1263890;1104077;268,2;307;324,1;283,1;56000;4,70%;5333202;710642;59,30%;0;0;0,00%;202261;430681;36,00%;0;0;0,00%;79;126;0,00%;0;0;0,00%;0;0;0,00%
107;As-Built;OX4;1724;5;Whole Building;Educational;New Build (Brownfield);2;No;None;Piled Ground Beams;Suspended RC;Steel Frame/Composite;Masonry/SFS;527502;601682;630750;503138;306;349;365,9;291,8;35000;5,80%;1402014;149060;24,80%;0;0;0,00%;78324;166778;27,70%;18627;57822;9,60%;120545;192645;32,00%;760;378;0,10%;0;0;0,00%
108;As-Built;SE10;2772;21;Whole Building;Commercial;New Build (Brownfield);3;No;None;Piles (Pile Caps);Suspended RC;Steel Frame/Composite;Glazed/Curtain Wall;1062330;1282887;1327616;1107205;383,2;462,8;478,9;399,4;147000;11,50%;2819311;356480;27,80%;0;0;0,00%;99800;212507;16,60%;31780;98652;7,70%;293000;468248;36,50%;0;0;0,00%;0;0;0,00%
109;As-Built;W5;1555;5;Whole Building;Educational;New Build (Brownfield);4;Yes;Partial Footprint;Piled Ground Beams;Suspended RC;Timber Frame (Glulam/CLT);Masonry Only;206726;324065;344358;-406845;132,9;208,4;221,5;-261,6;35000;10,80%;724400;97003;29,90%;0;0;0,00%;31261;66565;20,50%;792;2459;0,80%;3858;6166;1,90%;0;0;0,00%;418100;116874;36,10%
110;As-Built;DT9;1874;11;Whole Building;Educational;New Build (Brownfield);2;No;None;Mass Pads/Strips;Ground Bearing RC;Timber Frame (Glulam/CLT);Masonry Only;519300;678534;713903;506346;277,1;362,1;381;270,2;77000;11,30%;1629830;160328;23,60%;0;0;0,00%;87733;186813;27,50%;0;0;0,00%;46865;74896;11,00%;2368;1177;0,20%;296095;178321;26,30%
111;As-Built;NW3;2349;11;Whole Building;Educational;New Build (Brownfield);9;No;Full Footprint;Piles (Pile Caps);Suspended RC;Concrete (In-Situ);Masonry/SFS;1609361;1826838;1924483;1532081;685,1;777,7;819,3;652,2;77000;4,20%;6271598;677447;37,10%;0;0;0,00%;487416;1037871;56,80%;0;0;0,00%;21600;34519;1,90%;0;0;0,00%;0;0;0,00%
112;As-Built;SE25;7755;20;Whole Building;Educational;Mixed New Build/Refurb;3;No;None;Piled Ground Beams;Suspended RC;Steel Frame/Precast;Masonry/SFS;1577187;1838487;1928077;1676275;203,4;237,1;248,6;216,2;140000;7,60%;6080786;836863;45,50%;0;0;0,00%;162571;346168;18,80%;20618;64002;3,50%;282320;451180;24,50%;774;274;0,00%;0;0;0,00%
